# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       9.503674782126e-05      -1.321382086368e-03      -9.913815709891e-04      -9.913844639984e-04      -1.321327272777e-03      -9.915172616350e-04      -1.000794055331e-03       6.121571266124e-01       5.968292946594e-01      -1.043876103190e-09      -9.192240362642e-13      -1.111922470046e-09      -4.050831884738e-11 
       9.951569175756e-05      -1.448814580567e-03      -1.087025717753e-03      -1.087029195856e-03      -1.448748683288e-03      -1.087174753303e-03      -1.097345072403e-03       6.121545059063e-01       5.968275440111e-01      -1.254984272415e-09      -1.105118585649e-12      -1.336786743166e-09      -4.870043224412e-11 
       1.042057218184e-04      -1.588531006916e-03      -1.191896923835e-03      -1.191901105498e-03      -1.588451783946e-03      -1.192060651428e-03      -1.203210393592e-03       6.121516248749e-01       5.968256254668e-01      -1.508780774671e-09      -1.328671058316e-12      -1.607120997473e-09      -5.854908908738e-11 
       1.091167861863e-04      -1.741714364738e-03      -1.306885293373e-03      -1.306890320822e-03      -1.741619122396e-03      -1.307065189106e-03      -1.319288489807e-03       6.121484708962e-01       5.968235221311e-01      -1.813898816104e-09      -1.597406100322e-12      -1.932118307748e-09      -7.038925031294e-11 
       1.142593018872e-04      -1.909661355641e-03      -1.432966782546e-03      -1.432972826868e-03      -1.909546855217e-03      -1.433164481740e-03      -1.446564481296e-03       6.121450112593e-01       5.968212145209e-01      -2.180713967467e-09      -1.920496096762e-12      -2.322829980074e-09      -8.462354284434e-11 
       1.196441768865e-04      -2.093793283484e-03      -1.571211493395e-03      -1.571218760193e-03      -2.093655631793e-03      -1.571428802186e-03      -1.586118506057e-03       6.121412202143e-01       5.968186863506e-01      -2.621699950599e-09      -2.308911707408e-12      -2.792541028672e-09      -1.017359875793e-10 
       1.252828332259e-04      -2.295667933638e-03      -1.722792722476e-03      -1.722801459057e-03      -2.295502450537e-03      -1.723031642955e-03      -1.739134850189e-03       6.121370635059e-01       5.968159138423e-01      -3.151851568109e-09      -2.775900618429e-12      -3.357221347134e-09      -1.223084378713e-10 
       1.311872312515e-04      -2.516992647164e-03      -1.888996935464e-03      -1.889007439124e-03      -2.516793706561e-03      -1.889259684296e-03      -1.906912011485e-03       6.121325045253e-01       5.968128737204e-01      -3.789193840781e-09      -3.337349795492e-12      -4.036068170918e-09      -1.470403260125e-10 
       1.373698949832e-04      -2.759638584593e-03      -2.071234667709e-03      -2.071247295877e-03      -2.759399423530e-03      -2.071523700868e-03      -2.090873697042e-03       6.121275067191e-01       5.968095396870e-01      -4.555395544494e-09      -4.012351027558e-12      -4.852158298694e-09      -1.767724555663e-10 
       1.438439386797e-04      -3.025656358875e-03      -2.271052491943e-03      -2.271067674321e-03      -3.025368847985e-03      -2.271370534836e-03      -2.292580896671e-03       6.121220263844e-01       5.968058847207e-01      -5.476503053574e-09      -4.823880228392e-12      -5.833230533518e-09      -2.125154953431e-10 
